"Abbreviation","Species","MWMT_overlap","CMD_overlap","Relative_frequency"
"Hetrug","Heterodermia_rugulosa",0.675298035833884,0.676203513314304,0.003
"Hetspe","Heterodermia_speciosa",0.906086493619191,0.813645971854372,0.02
"Hetsqu","Heterodermia_squamulosa",0.685635353754015,0.754559347438591,0.004
"Hettro","Heterodermia_tropica",0.158581222877387,0.0638802177106988,0
"Hphadg","Hyperphyscia_adglutinata",0.838387347522221,0.584030089654613,0.008
"Hphsyn","Hyperphyscia_syncolla",0.801069584814093,0.696348701162616,0.001
"Htrafr","Hypotrachyna_afrorevoluta",0.00959669349266962,0.00497111531295313,0
"Htrcro","Hypotrachyna_croceopustulata",0.837514189691549,0.576301447789096,0.001
"Htrimb","Hypotrachyna_imbricatula",0.522815737516937,0.30522032124127,0.001
"Htrlae","Hypotrachyna_laevigata",0.558962430337383,0.668980134501826,0
"Htrliv","Hypotrachyna_livida",0.791137698002693,0.91277562428982,0.038
"Htross","Hypotrachyna_osseoalba",0.854336893400736,0.827954876030496,0.004
"Htrpse","Hypotrachyna_pseudosinuosa",0.0196133220804181,0.0084203000789043,0
"Htrpul","Hypotrachyna_pulvinata",0.876708225894007,0.786498624421395,0.001
"Htrpus","Hypotrachyna_pustulifera",0.692979832408865,0.797166641129742,0.004
"Htrrev","Hypotrachyna_revoluta",0.755203109249377,0.767670459345758,0.003
"Htrroc","Hypotrachyna_taylorensis",0.464570258082996,0.409648596980752,0.001
"Htrsho","Hypotrachyna_showmanii",0.744301425300736,0.799237716570221,0.009
"Htrsin","Hypotrachyna_sinuosa",0.63748087876848,0.634525889988167,0.034
"Htrvir","Hypotrachyna_virginica",0.0243180031007028,0.0457247359904005,0
"Hypapi","Hypogymnia_apinnata",0.91563080764073,0.89400847217949,0.068
"Hypaus","Hypogymnia_austerodes",0.738701973591489,0.598777373315919,0.012
"Hypbit","Hypogymnia_bitteri",0.704955174951743,0.433552994488848,0.006
"Hypcan","Hypogymnia_canadensis",0.55085240594446,0.681125298251087,0.004
"Hypdup","Hypogymnia_duplicata",0.7071336893823,0.342516504340318,0.038
"Hypent","Hypogymnia_enteromorpha",0.8254279773301,0.852248726128069,0.107
"Hypfar","Hypogymnia_farinacea",0.63022464929238,0.861626557336074,0.001
"Hyphet","Hypogymnia_heterophylla",0.377828241543824,0.22729637148334,0.004
"Hypims","Hypogymnia_imshaugii",0.869433423000966,0.896841396264592,0.183
"Hypina","Hypogymnia_inactiva",0.726913077575651,0.808370439915003,0.076
"Hypkro","Hypogymnia_krogiae",0.834451060418729,0.704707448486048,0.012
"Hypocc","Hypogymnia_occidentalis",0.827766493202949,0.839890187357134,0.061
"Hypoce","Hypogymnia_oceanica",0.715782452017877,0.214771055277452,0.017
"Hypphy","Hypogymnia_physodes",0.702508096428279,0.785673117061,0.274
"Hyppul","Hypogymnia_pulverata",0.478394520611518,0.495119350023725,0
"Hyprug","Hypogymnia_rugosa",0.847718040514577,0.912718843083088,0.006
"Hyptub","Hypogymnia_tubulosa",0.817591178692059,0.680624368523096,0.129
"Hypvit","Hypogymnia_vittata",0.435897782082394,0.389810181811503,0.02
"Hypwil","Hypogymnia_wilfiana",0.754897292811668,0.709044763392733,0.05
"Imsale","Imshaugia_aleurites",0.826368515689036,0.819992768138135,0.032
"Imspla","Imshaugia_placorodia",0.857627290976328,0.48237433420318,0.01
"Koebif","Koerberia_biformis",0.67352260940438,0.722531583558914,0.001
"Leisor","Leioderma_sorediatum",0.0754104514383959,0.0201395390984706,0
"Lepars","Leptogium_arsenei",0.799983641138863,0.629742296270572,0
"Lepaus","Leptogium_austroamericanum",0.738378687354142,0.824218368392705,0.002
"Lepbre","Leptogium_brebissonii",0.582948545289159,0.525750245238787,0.003
"Lepbur","Leptogium_burnetiae",0.505968673352738,0.520320676332033,0.005
"Lepcel","Scytinium_cellulosum",0.317586877941141,0.273764429180464,0.002
"Lepcor","Scytinium_palmatum",0.764938526190297,0.84081063644945,0.001
